month_year,Crime Name2,count
2019-12,All Other Offenses,346
2019-12,All other Larceny,143
2019-12,Assisting or Promoting Prostitution,1
2019-12,Burglary/Breaking and Entering,85
2019-12,Counterfeiting/Forgery,22
2019-12,Credit Card/Automatic Teller Machine Fraud,48
2019-12,Destruction/Damage/Vandalism of Property,115
2019-12,Disorderly Conduct,16
2019-12,Driving Under the Influence,83
2019-12,Drug Equipment Violations,16
2019-12,Drug/Narcotic Violations,104
2019-12,Embezzlement,4
2019-12,Extortion/Blackmail,3
2019-12,False Pretenses/Swindle/Confidence Game,30
2019-12,"Family Offenses, NonViolent",4
2019-12,Forcible Fondling,6
2019-12,Forcible Rape,13
2019-12,Forcible Sodomy,2
2019-12,From Coin/Operated Machine or Device,2
2019-12,"Human Trafficking, Commercial Sex Acts",1
2019-12,Identity Theft,29
2019-12,Kidnapping/Abduction,1
2019-12,Liquor Law Violations,37
2019-12,Motor Vehicle Theft,52
2019-12,Pocket/picking,8
2019-12,Prostitution,2
2019-12,Purse-snatching,2
2019-12,Robbery,15
2019-12,Runaway,12
2019-12,Sexual Assault With An Object,2
2019-12,Shoplifting,92
2019-12,Simple Assault,93
2019-12,Statuory Rape,1
2019-12,Stolen Property Offenses,2
2019-12,Theft From Motor Vehicle,344
2019-12,Theft from Building,115
2019-12,Theft of Motor Vehicle Parts or Accessories,63
2019-12,Trespass of Real Property,23
2019-12,Weapon Law Violations,5
2020-01,Aggravated Assault,21
2020-01,All Other Offenses,360
2020-01,All other Larceny,112
2020-01,Arson,1
2020-01,Assisting or Promoting Prostitution,3
2020-01,Burglary/Breaking and Entering,69
2020-01,Counterfeiting/Forgery,25
2020-01,Credit Card/Automatic Teller Machine Fraud,51
2020-01,Curfew/Loitering/Vagrancy Violations,1
2020-01,Destruction/Damage/Vandalism of Property,143
2020-01,Disorderly Conduct,32
2020-01,Driving Under the Influence,53
2020-01,Drug Equipment Violations,5
2020-01,Drug/Narcotic Violations,124
2020-01,Embezzlement,3
2020-01,Extortion/Blackmail,1
2020-01,False Pretenses/Swindle/Confidence Game,33
2020-01,"Family Offenses, NonViolent",2
2020-01,Forcible Fondling,15
2020-01,Forcible Rape,7
2020-01,Forcible Sodomy,3
2020-01,From Coin/Operated Machine or Device,1
2020-01,"Human Trafficking, Commercial Sex Acts",1
2020-01,Identity Theft,53
